diversion_flows		
channel	month	flow
463	1	35314.7
463	2	35314.7
463	3	0
757	4	0
757	5	0
757	6	0
757	7	35314.7
757	8	35314.7
757	9	35314.7
757	10	35314.7
757	11	35314.7
757	12	35314.7
757	1	35314.7
757	2	35314.7
757	3	0
759	4	0
759	5	0
759	6	0
759	7	35314.7
759	8	35314.7
759	9	35314.7
759	10	35314.7
759	11	35314.7
759	12	35314.7
759	1	35314.7
759	2	35314.7
759	3	0
452	4	0
452	5	0
452	6	0
452	7	3259.55
452	8	3259.55
452	9	3259.55
452	10	3259.55
452	11	3259.55
452	12	3259.55
452	1	3259.55
452	2	3259.55
452	3	0
117	4	0
117	5	0
117	6	0
117	7	2999.98
117	8	2999.98
117	9	2999.98
117	10	2999.98
117	11	2999.98
117	12	2999.98
117	1	2999.98
117	2	2999.98
117	3	0
454	4	0
454	5	0
454	6	0
454	7	3259.55
454	8	3259.55
454	9	3259.55
454	10	3259.55
454	11	3259.55
454	12	3259.55
454	1	3259.55
454	2	3259.55
454	3	0
804	4	0
804	5	0
804	6	0
804	7	3259.55
804	8	3259.55
804	9	3259.55
804	10	3259.55
804	11	3259.55
804	12	3259.55
804	1	3259.55
804	2	3259.55
804	3	0
801	4	0
801	5	0
801	6	0
801	7	99.94
801	8	99.94
801	9	99.94
801	10	99.94
801	11	99.94
801	12	99.94
801	1	99.94
801	2	99.94
801	3	0
461	4	0
461	5	0
461	6	0
461	7	35314.7
461	8	35314.7
461	9	35314.7
461	10	35314.7
461	11	35314.7
461	12	35314.7
461	1	35314.7
461	2	35314.7
461	3	0
756	4	0
756	5	0
756	6	0
756	7	35314.7
756	8	35314.7
756	9	35314.7
756	10	35314.7
756	11	35314.7
756	12	35314.7
756	1	35314.7
756	2	35314.7
756	3	0
457	4	0
457	5	0
457	6	0
457	7	35314.7
457	8	35314.7
457	9	35314.7
457	10	35314.7
457	11	35314.7
457	12	35314.7
457	1	35314.7
457	2	35314.7
457	3	0
456	4	0
456	5	0
456	6	0
456	7	35314.7
456	8	35314.7
456	9	35314.7
456	10	35314.7
456	11	35314.7
456	12	35314.7
456	1	35314.7
456	2	35314.7
456	3	0
465	4	0
465	5	0
465	6	0
465	7	35314.7
465	8	35314.7
465	9	35314.7
465	10	35314.7
465	11	35314.7
465	12	35314.7
465	1	35314.7
465	2	35314.7
465	3	0
464	4	0
464	5	0
464	6	0
464	7	35314.7
464	8	35314.7
464	9	35314.7
464	10	35314.7
464	11	35314.7
464	12	35314.7
464	1	35314.7
464	2	35314.7
464	3	0
466	4	0
466	5	0
466	6	0
466	7	35314.7
466	8	35314.7
466	9	35314.7
466	10	35314.7
466	11	35314.7
466	12	35314.7
466	1	35314.7
466	2	35314.7
466	3	0
760	4	0
760	5	0
760	6	0
760	7	35314.7
760	8	35314.7
760	9	35314.7
760	10	35314.7
760	11	35314.7
760	12	35314.7
760	1	35314.7
760	2	35314.7
760	3	0
598	4	0
598	5	0
598	6	0
598	7	35314.7
598	8	35314.7
598	9	35314.7
598	10	35314.7
598	11	35314.7
598	12	35314.7
598	1	35314.7
598	2	35314.7
598	3	0
599	4	0
599	5	0
599	6	0
599	7	35314.7
599	8	35314.7
599	9	35314.7
599	10	35314.7
599	11	35314.7
599	12	35314.7
599	1	35314.7
599	2	35314.7
599	3	0
742	4	0
742	5	0
742	6	0
742	7	35314.7
742	8	35314.7
742	9	35314.7
742	10	35314.7
742	11	35314.7
742	12	35314.7
742	1	35314.7
742	2	35314.7
742	3	0
740	4	0
740	5	0
740	6	0
740	7	35314.7
740	8	35314.7
740	9	35314.7
740	10	35314.7
740	11	35314.7
740	12	35314.7
740	1	35314.7
740	2	35314.7
740	3	0
741	4	0
741	5	0
741	6	0
741	7	35314.7
741	8	35314.7
741	9	35314.7
741	10	35314.7
741	11	35314.7
741	12	35314.7
741	1	35314.7
741	2	35314.7
741	3	0
743	4	0
743	5	0
743	6	0
743	7	35314.7
743	8	35314.7
743	9	35314.7
743	10	35314.7
743	11	35314.7
743	12	35314.7
743	1	35314.7
743	2	35314.7
743	3	0
413	4	0
413	5	0
413	6	0
413	7	35314.7
413	8	35314.7
413	9	35314.7
413	10	35314.7
413	11	35314.7
413	12	35314.7
413	1	35314.7
413	2	35314.7
413	3	0
410	4	0
410	5	0
410	6	0
410	7	1483.22
410	8	1483.22
410	9	1483.22
410	10	1483.22
410	11	1483.22
410	12	1483.22
410	1	1483.22
410	2	1483.22
410	3	0
129	4	0
129	5	0
129	6	0
129	7	1433.78
129	8	1433.78
129	9	1433.78
129	10	1433.78
129	11	1433.78
129	12	1433.78
129	1	1433.78
129	2	1433.78
129	3	0
729	4	0
729	5	0
729	6	0
729	7	3531.47
729	8	3531.47
729	9	3531.47
729	10	3531.47
729	11	3531.47
729	12	3531.47
729	1	3531.47
729	2	3531.47
729	3	0
473	4	0
473	5	0
473	6	0
473	7	3531.47
473	8	3531.47
473	9	3531.47
473	10	3531.47
473	11	3531.47
473	12	3531.47
473	1	3531.47
473	2	3531.47
473	3	0
412	4	0
412	5	0
412	6	0
412	7	35314.7
412	8	35314.7
412	9	35314.7
412	10	35314.7
412	11	35314.7
412	12	35314.7
412	1	35314.7
412	2	35314.7
412	3	0
487	4	0
487	5	0
487	6	0
487	7	3531.47
487	8	3531.47
487	9	3531.47
487	10	3531.47
487	11	3531.47
487	12	3531.47
