NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
43,11,0,0,0,0
51,11,0,0,342.31700000000001,0
52,11,0,0,0,0
53,11,4382.3810000000003,0,0,0
54,11,907.20000000000005,0,0,0
55,11,6410.8800000000001,0,0,0
56,11,1413.4179999999999,0,0,0
57,11,1235.002,0,0,0
60,11,0,0,410.05399999999997,0
61,11,1421.28,0,0,0
62,11,0,0,0,0
63,11,0,0,0,0
64,11,0,0,0,0
65,11,0,0,0,0
66,11,0,0,0,0
67,11,0,0,0,0
68,11,0,0,0,0
69,11,0,0,0,0
70,11,0,0,0,0
71,11,0,0,0,0
2,12,11719.209999999999,0,0,0
3,12,0,0,0,0
4,12,0,0,0,0
5,12,0,0,0,0
6,12,0,0,0,0
7,12,8730.893,0,0,0
8,12,0,0,0,0
9,12,0,0,0,0
10,12,0,0,0,0
11,12,0,0,0,0
12,12,0,0,0,0
13,12,0,0,0,0
14,12,0,0,342.31700000000001,0
15,12,0,0,0,0
16,12,0,0,0,0
17,12,0,0,0,0
25,12,0,0,0,0
32,12,0,0,0,0
35,12,0,0,0,0
39,12,0,0,0,0
43,12,0,0,0,0
51,12,0,0,342.31700000000001,0
52,12,0,0,0,0
53,12,1827.1010000000001,0,0,0
54,12,677.37599999999998,0,0,0
55,12,4777.9200000000001,0,0,0
56,12,589.67999999999995,0,0,0
57,12,514.68499999999995,0,0,0
60,12,0,0,410.05399999999997,0
61,12,1058.4000000000001,0,0,0
62,12,0,0,0,0
63,12,0,0,0,0
64,12,0,0,0,0
65,12,0,0,0,0
66,12,0,0,0,0
67,12,0,0,0,0
68,12,0,0,0,0
69,12,0,0,0,0
70,12,0,0,0,0
71,12,0,0,0,0
2,13,4552.3299999999999,0,0,0
3,13,0,0,0,0
4,13,0,0,0,0
5,13,0,0,0,0
6,13,0,0,0,0
7,13,6820.3299999999999,0,0,0
8,13,0,0,0,0
9,13,0,0,0,0
10,13,0,0,0,0
11,13,0,0,0,0
12,13,0,0,0,0
13,13,0,0,0,0
14,13,0,0,342.31700000000001,0
15,13,0,0,0,0
16,13,0,0,0,0
17,13,0,0,0,0
25,13,0,0,0,0
32,13,0,0,0,0
35,13,0,0,0,0
39,13,0,0,0,0
43,13,0,0,0,0
51,13,0,0,342.31700000000001,0
52,13,0,0,0,0
53,13,1825.8910000000001,0,0,0
54,13,48.384,0,0,0
55,13,344.73599999999999,0,0,0
56,13,589.07500000000005,0,0,0
57,13,514.08000000000004,0,0,0
60,13,0,0,410.05399999999997,0
61,13,76.810000000000002,0,0,0
62,13,0,0,0,0
63,13,0,0,0,0
64,13,0,0,0,0
65,13,0,0,0,0
66,13,0,0,0,0
67,13,0,0,0,0
68,13,0,0,0,0
69,13,0,0,0,0
70,13,0,0,0,0
71,13,0,0,0,0
2,14,4082.4000000000001,0,0,0
3,14,0,0,0,0
4,14,0,0,0,0
5,14,0,0,0,0
6,14,0,0,0,0
7,14,5546.6210000000001,0,0,0
8,14,0,0,0,0
9,14,0,0,0,0
10,14,0,0,0,0
11,14,0,0,0,0
12,14,0,0,0,0
13,14,0,0,0,0
14,14,0,0,342.31700000000001,0
15,14,0,0,0,0
16,14,0,0,0,0
17,14,0,0,0,0
25,14,0,0,0,0
32,14,0,0,0,0
35,14,0,0,0,0
39,14,0,0,0,0
43,14,0,0,0,0
51,14,0,0,342.31700000000001,0
52,14,0,0,0,0
53,14,1338.422,0,0,0
54,14,36.287999999999997,0,0,0
55,14,272.16000000000003,0,0,0
56,14,431.827,0,0,0
57,14,376.79000000000002,0,0,0
60,14,0,0,410.05399999999997,0
61,14,60.479999999999997,0,0,0
62,14,0,0,0,0
63,14,0,0,0,0
64,14,0,0,0,0
65,14,0,0,0,0
66,14,0,0,0,0
67,14,0,0,0,0
68,14,0,0,0,0
69,14,0,0,0,0
70,14,0,0,0,0
71,14,0,0,0,0
2,15,3204.835,0,0,0
3,15,0,0,0,0
4,15,0,0,0,0
5,15,0,0,0,0
6,15,0,0,0,0
7,15,4988.9949999999999,0,0,0
8,15,0,0,0,0
9,15,0,0,0,0
10,15,0,0,0,0
11,15,0,0,0,0
12,15,0,0,0,0
13,15,0,0,0,0
14,15,0,0,342.31700000000001,0
15,15,0,0,0,0
16,15,0,0,0,0
17,15,0,0,0,0
25,15,0,0,0,0
32,15,0,0,0,0
35,15,0,0,0,0
39,15,0,0,0,0
43,15,0,0,0,0
51,15,0,0,342.31700000000001,0
52,15,0,0,0,0
53,15,1227.1389999999999,0,0,0
54,15,34.473999999999997,0,0,0
55,15,241.91999999999999,0,0,0
56,15,395.53899999999999,0,0,0
57,15,345.34100000000001,0,0,0
60,15,0,0,410.05399999999997,0
61,15,53.826999999999998,0,0,0
62,15,0,0,0,0
63,15,0,0,0,0
64,15,0,0,0,0
65,15,0,0,0,0
66,15,0,0,0,0
67,15,0,0,0,0
68,15,0,0,0,0
69,15,0,0,0,0
70,15,0,0,0,0
71,15,0,0,0,0
2,16,8213.7890000000007,0,0,0
3,16,0,0,0,0
4,16,0,0,0,0
5,16,0,0,0,0
6,16,0,0,0,0
7,16,12399.610000000001,0,0,0
8,16,0,0,0,0
9,16,0,0,0,0
10,16,0,0,0,0
11,16,0,0,0,0
12,16,0,0,0,0
13,16,0,0,0,0
14,16,0,0,342.31700000000001,0
15,16,0,0,0,0
16,16,0,0,0,0
17,16,0,0,0,0
25,16,0,0,0,0
32,16,0,0,0,0
35,16,0,0,0,0
39,16,0,0,0,0
43,16,0,0,0,0
51,16,0,0,342.31700000000001,0
52,16,0,0,0,0
53,16,1426.1179999999999,0,0,0
54,16,96.768000000000001,0,0,0
55,16,677.37599999999998,0,0,0
56,16,459.64800000000002,0,0,0
57,16,401.58699999999999,0,0,0
60,16,0,0,410.05399999999997,0
61,16,151.19999999999999,0,0,0
62,16,0,0,0,0
63,16,0,0,0,0
64,16,0,0,0,0
65,16,0,0,0,0
66,16,0,0,0,0
67,16,0,0,0,0
68,16,0,0,0,0
69,16,0,0,0,0
70,16,0,0,0,0
71,16,0,0,0,0
2,17,6482.8509999999997,0,0,0
3,17,0,0,0,0
4,17,0,0,0,0
5,17,0,0,0,0
6,17,0,0,0,0
7,17,11996.813,0,0,0
8,17,0,0,0,0
9,17,0,0,0,0
10,17,0,0,0,0
11,17,0,0,0,0
12,17,0,0,0,0
13,17,0,0,0,0
14,17,0,0,465.09100000000001,0
15,17,0,0,0,0
16,17,0,0,0,0
17,17,0,0,0,0
25,17,0,0,0,0
32,17,0,0,0,0
35,17,0,0,122.17,0
39,17,0,0,0,0
43,17,0,0,0,0
51,17,0,0,342.31700000000001,0
52,17,0,0,0,0
53,17,947.72199999999998,0,0,0
54,17,90.719999999999999,0,0,0
55,17,647.13599999999997,0,0,0
56,17,306.029,0,0,0
57,17,266.71699999999998,0,0,0
60,17,0,0,410.05399999999997,0
61,17,145.15199999999999,0,0,0
62,17,0,0,0,0
63,17,0,0,0,0
64,17,0,0,0,0
65,17,0,0,0,0
66,17,0,0,0,0
67,17,0,0,0,0
68,17,0,0,0,0
69,17,0,0,0,0
70,17,0,0,0,0
71,17,0,0,0,0
2,18,7266.6719999999996,0,0,0
3,18,0,0,0,0
4,18,0,0,0,0
5,18,0,0,0,0
6,18,0,0,0,0
7,18,19094.745999999999,0,0,0
8,18,0,0,0,0
9,18,0,0,0,0
10,18,0,0,0,0
11,18,0,0,0,0
12,18,0,0,0,0
13,18,0,0,0,0
14,18,0,0,514.08000000000004,0
15,18,0,0,0,0
16,18,0,0,0,0
17,18,0,0,0,0
25,18,0,0,0,0
32,18,0,0,0,0
35,18,0,0,171.15799999999999,0
39,18,0,0,0,0
43,18,0,0,0,0
51,18,0,0,342.31700000000001,0
52,18,0,0,0,0
53,18,667.09400000000005,0,0,0
54,18,151.19999999999999,0,0,0
55,18,1088.6400000000001,0,0,0
56,18,215.309,0,0,0
57,18,188.09299999999999,0,0,0
60,18,0,0,410.05399999999997,0
61,18,241.91999999999999,0,0,0
62,18,0,0,0,0
63,18,0,0,0,0
64,18,0,0,0,0
65,18,0,0,0,0
66,18,0,0,0,0
67,18,0,0,0,0
68,18,0,0,0,0
69,18,0,0,0,0
70,18,0,0,0,0
71,18,0,0,0,0
2,19,10739.433999999999,0,0,0
3,19,0,0,0,0
4,19,0,0,0,0
5,19,0,0,0,0
6,19,0,0,0,0
7,19,25702.790000000001,0,0,0
8,19,0,0,0,0
9,19,0,0,0,0
10,19,0,0,0,0
11,19,0,0,0,0
12,19,0,0,0,0
13,19,0,0,0,0
14,19,0,0,514.08000000000004,0
15,19,0,0,0,0
16,19,0,0,0,0
17,19,0,0,0,0
25,19,0,0,0,0
32,19,0,0,0,0
35,19,0,0,171.15799999999999,0
39,19,0,0,0,0
43,19,0,0,0,0
51,19,0,0,342.31700000000001,0
52,19,0,0,0,0
53,19,558.23000000000002,0,0,0
54,19,217.72800000000001,0,0,0
55,19,1518.048,0,0,0
56,19,180.22999999999999,0,0,0
57,19,157.24799999999999,0,0,0
60,19,0,0,410.05399999999997,0
61,19,338.68799999999999,0,0,0
62,19,0,0,0,0
63,19,0,0,0,0
64,19,0,0,0,0
65,19,0,0,0,0
66,19,0,0,0,0
67,19,0,0,0,0
68,19,0,0,0,0
69,19,0,0,0,0
70,19,0,0,0,0
71,19,0,0,0,0
2,20,13515.466,0,0,0
3,20,0,0,0,0
4,20,0,0,0,0
5,20,0,0,0,0
6,20,0,0,0,0
7,20,28571.357,0,0,0
8,20,0,0,0,0
9,20,0,0,0,0
10,20,0,0,0,0
11,20,0,0,0,0
12,20,0,0,0,0
13,20,0,0,0,0
14,20,0,0,514.08000000000004,0
15,20,0,0,0,0
16,20,0,0,0,0
17,20,0,0,0,0
25,20,0,0,0,0
32,20,0,0,0,0
35,20,0,0,171.15799999999999,0
39,20,0,0,0,0
43,20,0,0,0,0
51,20,0,0,342.31700000000001,0
52,20,0,0,0,0
53,20,374.37099999999998,0,0,0
54,20,241.91999999999999,0,0,0
55,20,1705.5360000000001,0,0,0
56,20,120.95999999999999,0,0,0
57,20,105.84,0,0,0
60,20,0,0,410.05399999999997,0
61,20,381.024,0,0,0
62,20,0,0,0,0
63,20,0,0,0,0
64,20,0,0,0,0
65,20,0,0,0,0
66,20,0,0,0,0
67,20,0,0,0,0
68,20,0,0,0,0
69,20,0,0,0,0
70,20,0,0,0,0
71,20,0,0,0,0
2,21,10636.013000000001,0,0,0
3,21,0,0,0,0
4,21,0,0,0,0
5,21,0,0,0,0
6,21,0,0,0,0
7,21,20488.205000000002,0,0,0
8,21,0,0,0,0
