NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,3524,0,307.92899999999997,0,28821.743999999999,0,0,42647.165000000001,42647.165000000001,0,90.708418571428638,62697.770444629867,10533.225434697819,0,0
17,3524,0,174.42599999999999,0,25249.794999999998,0,0,23838.118999999999,23838.118999999999,0,124.60214514147992,48140.637619990834,8087.6271201584595,0,0
1,3525,0,457.35199999999998,0,28750.983,0,0,45365.853000000003,45365.853000000003,0,90.307198571428671,66399.649510379691,11155.141117743788,0,0
17,3525,0,288.37799999999999,0,27525.657999999999,0,0,26767.038,26767.038,0,124.62449584018918,54065.231317880054,9082.9588614038494,0,0
1,3526,0,720.68399999999997,0,19763.653999999999,0,0,38470.731,38470.731,0,89.83791285714301,56015.011295689656,9410.5218976758624,0,0
17,3526,0,455.45699999999999,0,19851.350999999999,0,0,21527.258999999998,21527.258999999998,0,124.60274744501862,43474.109006904931,7303.6503131600284,0,0
1,3527,0,229.70599999999999,0,14312.592000000001,0,0,36410.669999999998,36410.669999999998,0,89.301062857143052,52698.667486541606,8853.3761377389892,0,0
17,3527,0,141.71700000000001,0,16327.181,0,0,16517.142,16517.142,0,124.57049801858591,33347.588882618118,5602.3949322798435,0,0
1,3528,0,-401.12900000000002,0,12959.049000000001,0,0,45486.722000000002,45486.722000000002,0,88.709774285714275,65398.901010029353,10987.01536968493,0,0
17,3528,0,-295.44400000000002,0,10530.778,0,0,15026.216,15026.216,0,124.51115802646518,30323.004849456938,5094.2648147087657,0,0
1,3529,0,87.677999999999997,0,13225.766,0,0,64727.438000000002,64727.438000000002,0,88.061633333333475,92382.452903822865,15520.25208784224,0,0
17,3529,0,57.18,0,0,0,0,9458.4060000000009,9458.4060000000009,0,124.33157991703547,19059.598160512211,3202.0124909660512,0,0
1,3530,0,44.783000000000001,0,12743.741,0,0,49408.466,49408.466,0,87.308281333333298,69915.126084498057,11745.741182195672,0,0
17,3530,0,28.030000000000001,0,0,0,0,13023.101000000001,13023.101000000001,0,124.03611075061986,26180.436576160508,4398.3133447949649,0,0
1,3531,0,-541.23000000000002,0,11448.259,0,0,48959.697999999997,48959.697999999997,0,86.455204000000094,68603.173440421713,11525.333137990847,0,0
17,3531,0,-398.04000000000002,0,0,0,0,20012.967000000001,20012.967000000001,0,123.58011838091818,40084.310881108126,6734.1642280261649,0,0
1,3532,0,-79.131,0,4376.9380000000001,0,0,41890.610000000001,41890.610000000001,0,85.562344000000166,58091.647542534338,9759.3967871457698,0,0
17,3532,0,-57.976999999999997,0,0,0,0,23094.167000000001,23094.167000000001,0,122.94945499999994,46019.643026401682,7731.300028435483,0,0
1,3533,0,-378.23899999999998,0,2390.7739999999999,0,0,40036.887999999999,40036.887999999999,0,84.665920000000142,54939.320109316031,9229.8057783650947,0,0
17,3533,0,-270.072,0,0,0,0,25966.261999999999,25966.261999999999,0,122.21846000000005,51435.217131213554,8641.1164780438758,0,0
1,3534,0,-486.78100000000001,0,5434.7330000000002,0,0,40502.764000000003,40502.764000000003,0,83.803732000000082,55012.623477987814,9242.1207443019521,0,0
17,3534,0,-342.33499999999998,0,0,0,0,21828.161,21828.161,0,121.51072999999997,42987.888518624728,7221.9652711289546,0,0
1,3535,0,11.147,0,8303.2990000000009,0,0,48371.610999999997,48371.610999999997,0,82.907800000000179,64998.042620180917,10919.671160190393,0,0
17,3535,0,6.9009999999999998,0,0,0,0,16723.439999999999,16723.439999999999,0,120.93797552282763,32779.524263141182,5506.9600762077189,0,0
1,3536,0,-771.12599999999998,0,5239.9870000000001,0,0,34606.321000000004,34606.321000000004,0,82.083700000000135,46039.085868484392,7734.5664259053774,0,0
17,3536,0,-524.19500000000005,0,0,0,0,31523.939999999999,31523.939999999999,0,120.23095729013255,61428.672880186081,10320.017043871261,0,0
1,3537,0,7.4660000000000002,0,4104.7780000000002,0,0,20983.554,20983.554,0,81.410274308480666,27686.789608017727,4651.3806541469776,0,0
17,3537,0,4.2960000000000003,0,0,0,0,31952.065999999999,31952.065999999999,0,119.27503597657392,61767.90000827422,10377.007201390068,0,0
1,3538,0,-82.786000000000001,0,2720.9949999999999,0,0,32205.028999999999,32205.028999999999,0,80.710708681419646,42127.839850394419,7077.4770948662626,0,0
17,3538,0,-51.442,0,0,0,0,31881.189999999999,31881.189999999999,0,118.30623806103438,61130.296725637301,10269.889849907067,0,0
1,3539,0,-131.214,0,2598.221,0,0,30941.544000000002,30941.544000000002,0,79.943343643676826,40090.237192667737,6735.1598483681801,0,0
17,3539,0,-76.260000000000005,0,0,0,0,22569.716,22569.716,0,117.40718385176547,42947.224355212653,7215.1336916757255,0,0
1,3540,0,-53.545999999999999,0,2564.3519999999999,0,0,29863.075000000001,29863.075000000001,0,79.129903725670601,38299.181960465539,6434.2625693582113,0,0
17,3540,0,-33.555,0,0,0,0,22768.555,22768.555,0,116.52286000000004,42999.255912330533,7223.87499327153,0,0
1,3541,0,103.643,0,9589.7090000000007,0,0,41217.510000000002,41217.510000000002,0,78.311199454932876,52314.245179152786,8788.7931900976673,0,0
17,3541,0,47.106999999999999,0,0,0,0,22912.178,22912.178,0,115.60897999999997,42931.126031205502,7212.4291732425245,0,0
1,3542,0,117.947,0,6135.0910000000003,0,0,39645.703999999998,39645.703999999998,0,77.487487500000043,49789.991142454543,8364.7185119323622,0,0
17,3542,0,50.298000000000002,0,0,0,0,21170.060000000001,21170.060000000001,0,114.72538000000009,39363.701453855487,6613.1018442477225,0,0
1,3543,0,-24.221,0,9517.7379999999994,0,0,43890.519,43890.519,0,76.63777499999992,54516.496662919912,9158.7714393705446,0,0
17,3543,0,-15.183,0,0,0,0,16833.682000000001,16833.682000000001,0,113.88077999999996,31070.188453960105,5219.7916602652977,0,0
1,3544,0,-248.19900000000001,0,3513.2829999999999,0,0,50748.642,50748.642,0,75.731712500000185,62289.74290835586,10464.676808603785,0,0
17,3544,0,-123.324,0,0,0,0,8272.0380000000005,8272.0380000000005,0,113.05314999999996,15156.869939981785,2546.3541499169401,0,0
1,3545,0,149.87200000000001,0,3281.04,0,0,40495.468000000001,40495.468000000001,0,74.723275000000058,49042.95794304811,8239.2169344320828,0,0
17,3545,0,60.366999999999997,0,0,0,0,15388.190000000001,15388.190000000001,0,112.27024393939394,28000.548695106198,4704.0921807778413,0,0
1,3546,0,195.23699999999999,0,5950.6270000000004,0,0,46635.726999999999,46635.726999999999,0,73.615841666666711,55642.209710864423,9347.8912314252248,0,0
17,3546,0,70.265000000000001,0,0,0,0,21002.123,21002.123,0,111.57551515151522,37979.25434364385,6380.5147297321673,0,0
1,3547,0,-286.51299999999998,0,10796.285,0,0,60298.885999999999,60298.885999999999,0,72.383919999999989,70740.108773112763,11884.338273882944,0,0
17,3547,0,-112.90000000000001,0,0,0,0,5983.7839999999997,5983.7839999999997,0,110.91468371212125,10756.705754498847,1807.1265667558064,0,0
